ID1,ID2,lat,long,alt
L164949,De_Baca,34.27695,-104.29849,.
L160468,Valencia,34.547733,-106.77764,.
L218210,Valencia,34.7163609,-106.7472056,.
L267374,Valencia,34.7565787,-106.7418255,.
L1340869,Bernalillo,35.0849382,-106.6220625,.
L246189,Bernalillo,35.1645188,-106.6594162,.
L143408,Bernalillo,35.1693001,-106.6506119,.
L1047126,Bernalillo,35.1940115,-106.6410899,.
L1145419,Sandoval,35.219749,-106.606843,.
L166112,Cleveland,35.244198,-97.428955,.
L165650,San_Miguel,35.449978,-104.153984,.
L125496,Oklahoma,35.46756,-97.51642,.
L104201,Oklahoma,35.51862,-97.62032,.
L156525,Oklahoma,35.51866,-97.63222,.
L1627767,Custer,35.5513756,-99.235289,.
L160128,San_Miguel,35.5649,-103.8951,.
L155921,Santa_Fe,35.596092,-105.76971,.
L1340897,Sandoval,35.6318658,-106.3254547,.
L154513,San_Miguel,35.654972,-105.28813,.
L156454,Sandoval,35.671623,-106.74084,.
L1891979,Roger_Mills,35.7793347,-99.6601939,.
